1,2025-01-12,,125568.74,19
2,2024-12-11,,259986.36,1
3,2022-06-17,,188502.63,22
4,2015-09-11,,453724.02,53
5,2013-10-03,,245668.41,51
6,2023-11-16,,430264.39,5
7,2021-01-26,,430336.11,54
8,2013-07-21,,320859.34,4
9,2015-12-27,,132082.54,28
10,2013-01-22,2025-10-22,331785.98,50
11,2015-04-04,2022-04-11,175469.01,2
12,2012-01-15,,475569.02,14
13,2018-10-27,2023-08-30,494956.46,28
14,2024-03-01,,204524.26,11
15,2021-05-10,,258438.79,31
16,2019-03-17,2021-04-16,370735.99,25
17,2011-06-14,,420657.19,4
18,2017-09-13,,451764.12,36
19,2012-07-06,,242733.18,51
20,2012-07-01,,170451.01,4
21,2022-12-24,2024-02-20,376859.06,55
22,2013-08-26,,216795.17,20
23,2015-12-11,,173633.92,32
24,2016-06-25,,402070.87,2
25,2015-12-31,,129523.01,46
26,2019-04-01,,336441.14,43
27,2022-06-09,,405325.72,47
28,2016-01-18,,444466.63,39
29,2021-09-05,2026-01-18,345756.4,58
30,2018-12-27,,449399.91,33
31,2021-08-07,,499324.44,6
32,2013-12-16,,343477.78,16
33,2014-05-06,,431126.96,27
34,2015-08-25,,239416.25,56
35,2017-08-19,2021-02-06,271077.34,4
36,2018-07-15,,132048.56,6
37,2014-11-10,,418932.59,10
38,2017-12-02,2024-09-19,125519.5,46
39,2018-01-08,,260170.89,24
40,2019-12-30,,443194.04,52
41,2020-01-14,2025-11-29,89729.91,38
42,2019-02-06,,419187.31,29
43,2013-02-10,,68586.66,60
44,2019-06-30,,418569.32,46
45,2017-10-30,,62198.34,13
46,2013-05-26,2023-11-10,285555.39,20
47,2022-11-18,,323195.79,2
48,2017-05-01,2022-11-22,344365.9,40
49,2019-02-11,,432429.01,54
50,2021-12-17,,347946.57,53
51,2018-10-02,,104343.8,59
52,2024-11-21,,429754.64,23
53,2012-08-07,,313125.52,59
54,2023-10-24,,241858.48,12
55,2011-11-02,,186864.9,37
56,2011-06-17,,398821.77,14
57,2024-03-30,,155771.31,45
58,2011-09-04,,172322.69,13
59,2023-05-26,,446714.62,39
60,2014-09-02,,109046.5,9
61,2021-05-01,,155628.31,13
62,2024-08-01,,421950.52,9
63,2022-08-06,2024-02-22,395811.36,54
64,2018-04-28,,129155.15,31
65,2022-09-16,,62764.63,29
66,2020-01-16,,441412.15,24
67,2014-02-06,2017-09-14,260530.23,19
68,2020-11-07,,180200.42,5
69,2016-04-08,,428640.0,38
70,2012-10-24,,64784.52,28
71,2023-08-28,,227449.97,50
72,2014-05-04,,419412.09,15
73,2013-11-27,,432693.07,57
74,2015-03-25,,455747.72,60
75,2015-03-16,,282517.34,30
76,2014-02-10,,372956.73,10
77,2015-06-08,,122627.05,1
78,2025-04-28,2025-12-29,114212.34,59
79,2025-01-21,,321805.93,48
80,2024-08-30,,412246.13,49
81,2012-07-29,2019-02-05,409321.65,45
82,2018-04-17,2018-10-15,489071.78,37
83,2019-11-28,,459182.24,58
84,2020-02-19,,315371.65,57
85,2021-05-05,2024-05-08,473811.81,35
86,2017-02-02,,192773.81,4
87,2012-08-29,,372452.98,60
88,2022-01-09,,213060.07,22
89,2020-08-08,2022-12-15,333624.14,36
90,2021-05-05,,307049.44,14
91,2012-08-18,2014-01-14,285635.65,34
92,2017-04-18,,238240.15,43
93,2024-04-20,2026-03-18,241755.71,51
94,2015-11-03,,492809.16,31
95,2018-10-20,,89919.28,44
96,2021-07-20,,431489.43,11
97,2016-12-16,,131913.67,49
98,2017-11-09,2023-09-27,134279.26,18
99,2014-11-12,2018-03-28,460961.33,32
100,2024-07-23,,167807.85,39
101,2025-04-18,2025-06-25,135990.53,9
102,2021-07-23,,215961.51,30
103,2023-03-29,,50353.26,34
104,2019-12-31,2025-11-15,398598.16,42
105,2015-11-29,,327384.11,34
106,2016-10-22,2026-03-17,377618.91,29
107,2021-04-18,,293074.92,47
108,2024-03-12,2024-11-17,444814.43,22
109,2018-04-20,,138053.97,58
110,2012-02-19,,448037.26,1
111,2025-02-07,,350568.7,12
112,2021-04-28,,368386.97,40
113,2023-04-05,,82678.78,56
114,2020-05-03,,137275.48,58
115,2022-02-13,,93447.86,46
116,2017-06-08,,218420.93,40
117,2025-01-28,,479784.19,43
118,2017-06-29,,488208.25,31
119,2024-12-25,,157600.25,36
120,2014-12-26,,424857.11,30
121,2011-11-09,,416556.62,12
122,2023-10-02,,306213.66,38
123,2019-07-04,,58772.09,36
124,2024-01-12,,233227.2,40
125,2013-04-20,,418313.05,47
126,2016-05-05,,290328.7,59
127,2022-10-21,,270098.29,40
128,2018-10-18,,302809.22,13
129,2020-02-20,,255981.54,7
130,2022-09-22,,216737.13,20
131,2017-05-24,,144585.71,60
