1,sportello,3338.93,608,45
2,cassa,42950.26,419,35
3,sportello,29334.5,125,38
4,cassa,32642.3,733,48
5,cassa,43697.04,570,59
6,cassa,9321.0,329,39
7,cassa,19727.67,885,56
8,cassa,6606.44,256,18
9,sportello,6317.58,320,4
10,sportello,37906.4,31,12
11,cassa,12876.62,368,21
12,sportello,43711.53,415,21
13,cassa,6073.93,984,59
14,cassa,3429.36,640,14
15,cassa,2267.93,702,30
16,cassa,20613.83,597,50
17,cassa,33688.61,859,17
18,sportello,35258.75,427,17
19,sportello,9532.99,346,49
20,sportello,4958.46,831,28
21,sportello,17980.2,702,50
22,cassa,15166.27,980,26
23,cassa,20047.81,34,2
24,sportello,5253.46,840,15
25,sportello,36027.24,280,15
26,cassa,17447.41,72,59
27,cassa,25468.05,806,15
28,sportello,34478.96,144,14
29,cassa,24068.16,533,6
30,sportello,7234.97,682,26
31,sportello,21878.73,268,59
32,sportello,19713.65,448,12
33,sportello,20606.41,852,10
34,cassa,39470.06,353,11
35,cassa,9921.67,454,26
36,sportello,40660.42,125,49
37,cassa,49258.4,939,28
38,cassa,13259.4,188,39
39,sportello,25569.29,946,60
40,sportello,14768.13,115,33
41,cassa,16835.99,862,42
42,sportello,23403.51,735,37
43,sportello,35770.41,651,45
44,sportello,7495.99,848,21
45,sportello,22081.59,856,28
46,sportello,18045.97,681,1
47,cassa,30133.52,862,34
48,sportello,2041.65,911,26
49,sportello,37191.53,204,25
50,cassa,28063.2,719,27
51,cassa,8561.0,195,5
52,sportello,13460.42,501,40
53,sportello,13209.1,720,31
54,cassa,21989.77,28,57
55,cassa,27320.96,737,24
56,sportello,48642.88,560,51
57,cassa,1356.26,216,8
58,cassa,23342.51,261,28
59,sportello,26416.41,256,44
60,sportello,35908.42,146,3
61,cassa,8882.75,973,20
62,sportello,3781.14,516,21
63,sportello,17176.68,132,54
64,cassa,34871.38,198,55
65,sportello,24257.5,849,33
66,cassa,34309.85,915,53
67,sportello,25532.84,143,48
68,cassa,6405.91,845,21
69,cassa,14456.77,643,29
70,cassa,17733.59,103,22
71,sportello,37871.52,180,54
72,cassa,34386.83,910,57
73,cassa,26204.65,185,30
74,sportello,22042.15,373,5
75,cassa,47911.36,531,41
76,cassa,28048.64,837,40
77,cassa,28651.76,449,6
78,cassa,5215.17,486,47
79,sportello,20786.14,277,14
80,cassa,17080.26,960,33
81,cassa,1625.75,826,45
82,cassa,37701.38,28,6
83,sportello,38227.74,128,7
84,sportello,31333.87,422,42
85,sportello,26543.1,151,9
86,sportello,33896.78,97,19
87,cassa,25991.26,93,42
88,cassa,1437.6,530,34
89,sportello,25315.8,359,24
90,sportello,41301.15,492,47
91,sportello,24871.69,105,4
92,cassa,23048.22,492,57
93,cassa,35088.11,886,41
94,sportello,19895.59,690,18
95,sportello,30164.03,330,41
96,sportello,40884.06,951,42
97,cassa,14059.7,431,12
98,sportello,31894.12,734,30
99,cassa,27185.4,196,30
100,sportello,23208.44,26,11
101,cassa,24305.73,133,48
102,sportello,22285.22,684,33
103,cassa,8913.71,840,47
104,sportello,39143.85,833,18
105,cassa,33180.02,536,28
106,cassa,43274.42,806,52
107,sportello,19730.32,951,50
108,cassa,11914.13,54,57
109,cassa,45102.8,444,6
110,sportello,28691.73,773,54
111,sportello,9984.33,289,16
112,cassa,6694.68,850,36
113,cassa,13543.0,502,3
114,cassa,24798.76,296,35
115,cassa,10709.84,149,3
116,sportello,4155.49,535,41
117,sportello,28651.25,563,22
118,cassa,39512.34,597,52
119,cassa,29072.72,233,33
120,cassa,41687.59,162,43
121,sportello,12285.12,219,12
122,sportello,35926.39,115,33
123,sportello,20973.09,608,14
124,sportello,38031.6,775,56
125,sportello,5817.94,735,53
126,sportello,40298.03,372,51
127,sportello,41577.49,758,54
128,cassa,6403.99,625,21
129,sportello,42889.34,405,34
130,cassa,28427.29,276,22
131,sportello,19855.61,818,14
132,cassa,28646.58,135,52
133,sportello,18765.02,171,22
134,sportello,45987.76,39,26
135,sportello,42841.93,657,20
136,cassa,22749.74,616,15
137,sportello,31249.49,572,52
138,cassa,23457.87,663,28
139,sportello,39703.65,403,24
140,sportello,15409.64,700,18
141,sportello,15112.09,675,23
142,cassa,1343.36,362,19
143,sportello,3438.51,563,13
144,sportello,3565.04,965,1
145,cassa,12707.65,583,41
146,sportello,31733.39,441,7
147,sportello,49478.09,469,58
148,cassa,7146.35,284,60
149,sportello,2329.96,843,32
150,cassa,13953.52,760,46
151,sportello,42918.79,205,19
152,cassa,40389.38,235,38
153,sportello,47675.97,619,40
154,sportello,47949.56,186,40
155,sportello,9763.01,916,52
156,sportello,42723.47,295,44
157,cassa,22464.69,817,36
158,cassa,49157.36,493,37
159,sportello,49893.41,649,23
160,sportello,12004.85,581,17
161,sportello,8843.43,553,10
162,sportello,15297.68,734,6
163,cassa,3116.92,877,38
164,cassa,21899.3,976,35
165,cassa,20790.63,592,54
166,sportello,32666.94,108,52
167,cassa,18080.94,601,54
168,cassa,20191.89,207,15
169,sportello,33715.9,939,56
170,cassa,11053.74,794,14
171,sportello,5168.98,660,60
172,cassa,33742.02,637,25
173,cassa,46288.5,386,46
174,cassa,16391.94,215,38
175,cassa,48570.2,157,17
176,cassa,34489.46,522,14
177,sportello,32122.74,906,35
178,sportello,2262.71,442,8
179,cassa,27682.06,370,30
180,sportello,29589.82,379,19
181,sportello,43109.23,417,22
182,sportello,15682.92,395,49
183,sportello,32976.72,273,54
184,cassa,35883.09,715,31
185,cassa,22073.71,846,15
186,cassa,15086.3,697,10
187,cassa,21714.99,306,46
188,sportello,41274.53,329,54
189,cassa,28823.98,869,12
190,sportello,22840.89,911,31
191,sportello,13675.8,996,23
192,sportello,18659.48,309,46
193,sportello,7938.11,968,19
194,sportello,33425.32,934,27
195,sportello,1360.61,428,31
196,sportello,25991.12,163,54
197,sportello,42303.02,613,46
198,cassa,11865.47,156,1
199,cassa,39498.0,232,58
200,cassa,36299.32,290,11
201,sportello,33702.87,732,21
202,cassa,41641.0,66,40
203,cassa,11570.14,512,23
204,sportello,12691.96,835,35
205,cassa,38757.27,163,13
206,sportello,37074.93,578,30
207,cassa,46742.79,690,12
208,sportello,9564.23,114,25
209,sportello,12891.1,227,4
210,cassa,13052.91,741,51
211,sportello,40533.85,599,52
212,sportello,43747.73,970,10
213,cassa,23236.07,560,40
214,cassa,38689.19,405,53
215,cassa,4570.75,452,26
216,sportello,29996.48,966,24
217,cassa,36389.85,564,37
218,sportello,5234.52,828,7
219,sportello,41442.08,651,26
220,sportello,17278.99,650,17
221,cassa,36926.05,465,4
222,sportello,40507.18,224,42
223,cassa,12893.2,166,7
224,sportello,13731.23,278,31
225,cassa,47059.27,874,46
226,cassa,4680.82,736,43
227,sportello,13880.74,10,53
228,sportello,46556.69,907,43
229,cassa,6428.75,434,59
230,cassa,49927.35,581,52
231,sportello,31904.72,239,20
232,sportello,42454.27,863,24
233,sportello,19986.3,716,50
234,sportello,22236.7,695,35
235,sportello,42978.53,286,44
236,sportello,43729.7,135,58
237,cassa,36488.94,661,9
238,cassa,11978.14,89,34
239,cassa,33777.37,399,46
240,cassa,41891.92,696,41
241,cassa,17615.56,982,14
242,sportello,11153.65,636,59
243,sportello,34226.07,872,54
244,sportello,24000.69,722,18
245,cassa,20952.31,822,48
246,sportello,26842.1,606,2
247,cassa,49690.44,781,42
248,sportello,31092.64,608,6
249,sportello,7454.21,236,12
250,sportello,45606.55,142,48
251,sportello,21625.23,636,52
252,cassa,3965.23,181,13
253,sportello,10928.78,458,37
254,sportello,37855.44,990,47
255,sportello,21164.71,395,5
256,cassa,41949.24,72,8
257,sportello,13827.17,295,53
258,cassa,43639.53,352,27
259,sportello,33135.28,389,29
260,sportello,45877.27,19,32
261,cassa,2865.3,975,47
262,cassa,25515.05,75,37
263,sportello,13849.93,379,60
264,cassa,13213.86,743,28
265,cassa,17032.26,870,45
266,cassa,32330.39,553,55
267,sportello,37738.32,720,6
268,cassa,10740.41,11,39
269,sportello,27276.54,13,2
270,cassa,30878.26,834,3
271,cassa,29830.78,133,28
272,sportello,18324.13,883,8
273,cassa,30911.83,830,45
274,cassa,30967.38,706,52
275,cassa,31707.36,587,24
276,cassa,49754.73,643,47
277,cassa,31169.14,901,42
278,sportello,34932.03,595,48
279,sportello,5942.26,582,46
280,sportello,24615.82,787,27
281,cassa,31065.7,696,14
282,sportello,22740.96,637,26
283,sportello,5187.05,53,53
284,sportello,29118.35,478,22
285,sportello,13523.5,176,51
286,sportello,39209.22,291,23
287,cassa,8374.47,971,9
288,sportello,19410.23,57,30
289,sportello,5759.65,306,35
290,cassa,23651.2,539,54
291,sportello,5843.69,848,7
292,cassa,10021.65,133,43
293,cassa,14622.3,194,20
294,sportello,32848.68,891,14
295,cassa,27933.29,942,1
296,sportello,27449.67,889,3
297,sportello,31742.75,134,42
298,sportello,36836.77,861,46
299,sportello,31306.39,849,57
300,sportello,18779.03,281,10
