1,2025-12-03,04:08:49,saldo,,913,248,in303073
2,2024-12-03,18:47:45,deposito,194.97,96,67,WN062639
3,2012-02-13,06:17:07,prelievo,132.54,448,104,BC597992
4,2021-05-28,18:35:03,lista_movimenti,,13,48,iO337994
5,2025-11-08,02:42:37,prelievo,80.88,632,222,Gd232898
6,2025-02-14,14:10:46,deposito,94.79,703,114,hk369377
7,2023-09-21,14:08:28,prelievo,183.8,169,36,oQ579185
8,2021-08-15,14:03:50,deposito,28.15,944,70,li937953
9,2025-12-22,14:55:28,saldo,,793,162,Rj696011
10,2024-05-07,01:08:17,deposito,45.1,939,260,PZ716515
11,2024-05-17,17:49:52,lista_movimenti,,68,294,xO594286
12,2019-05-18,04:10:43,deposito,71.3,33,211,nP645601
13,2023-11-28,13:20:03,prelievo,188.25,857,257,gC043514
14,2016-02-11,09:44:01,prelievo,184.62,944,224,li937953
15,2025-11-30,16:39:32,saldo,,530,90,th109211
16,2021-09-10,06:00:39,deposito,26.56,986,101,tr946002
17,2025-02-18,07:08:11,deposito,137.38,52,295,ao504679
18,2023-12-04,09:07:18,deposito,152.32,497,300,Hj660331
19,2020-12-06,07:13:47,prelievo,116.42,869,205,Uq601587
20,2024-05-02,17:42:58,deposito,156.16,880,203,Go167809
21,2024-01-18,07:03:01,prelievo,82.86,1105,187,GC955349
22,2019-07-23,18:41:50,prelievo,79.34,722,47,SL697117
23,2025-06-10,18:20:11,saldo,,888,153,RN445012
24,2018-05-31,06:38:27,prelievo,100.73,937,200,ig517122
25,2017-03-04,09:56:09,deposito,179.51,1142,154,ud181367
26,2018-08-31,20:15:35,lista_movimenti,,28,111,ja601436
27,2025-06-18,21:45:48,deposito,176.45,1061,63,na289629
28,2021-03-25,02:39:27,saldo,,517,208,aJ952726
29,2024-01-01,07:46:36,prelievo,49.68,236,180,rb750507
30,2024-02-24,13:26:57,deposito,115.22,542,5,cY205780
31,2023-11-04,08:25:17,lista_movimenti,,749,280,Nd582827
32,2024-11-26,01:38:11,prelievo,40.03,875,230,bY805509
33,2018-09-26,19:48:39,prelievo,45.2,518,9,XQ237919
34,2022-08-26,06:43:21,lista_movimenti,,237,169,AK157155
35,2019-07-28,05:55:04,deposito,10.61,324,200,tN450687
36,2021-08-16,01:35:22,prelievo,66.27,1047,3,WV167333
37,2021-07-23,02:47:59,prelievo,70.74,118,130,LR374410
38,2024-11-26,22:59:37,prelievo,75.83,789,2,IB961263
39,2023-08-22,23:11:51,prelievo,30.74,81,246,EJ330568
40,2025-04-30,00:05:19,saldo,,655,196,rv516182
41,2021-08-17,20:08:44,lista_movimenti,,442,259,yt823356
42,2022-08-30,02:51:18,deposito,40.69,1140,70,Kw431712
43,2025-05-10,20:26:04,prelievo,171.04,750,145,eS158534
44,2023-01-02,17:32:03,prelievo,125.66,30,263,ni811078
45,2025-10-24,18:51:30,deposito,125.55,891,76,kI528431
46,2024-06-18,16:24:44,prelievo,62.16,247,132,wz717652
47,2024-07-22,03:59:30,lista_movimenti,,774,209,ph732639
48,2026-04-07,01:44:53,prelievo,166.43,1100,91,gI125795
49,2025-07-22,05:17:18,deposito,163.26,681,76,Lg023896
50,2025-02-08,08:05:50,prelievo,199.48,461,90,tA880229
51,2020-11-19,05:04:11,saldo,,86,3,Yk695622
52,2023-12-01,22:56:29,deposito,66.13,472,236,lF310232
53,2016-12-04,16:53:56,saldo,,595,161,DA024366
54,2026-01-28,16:29:03,lista_movimenti,,641,59,mE154071
55,2026-02-23,23:18:54,prelievo,182.92,83,239,rI266900
56,2017-10-02,14:50:01,saldo,,311,195,od612541
57,2025-05-25,14:40:37,deposito,108.21,829,245,jU828444
58,2024-07-27,16:27:31,saldo,,982,129,mG363466
59,2024-12-03,22:30:53,deposito,181.0,203,114,xE705573
60,2020-09-01,05:39:25,prelievo,146.05,1119,130,Se418183
61,2017-10-10,22:56:52,prelievo,79.23,417,242,fP730877
62,2020-01-23,22:11:07,lista_movimenti,,821,206,wo922446
63,2023-04-17,20:47:12,deposito,161.75,717,211,LS493276
64,2021-02-19,16:29:43,saldo,,565,283,PQ225368
65,2023-03-20,17:35:50,deposito,175.75,299,108,NS978939
66,2024-02-03,02:52:59,lista_movimenti,,6,297,Mb533097
67,2024-12-18,02:04:15,deposito,37.75,30,141,ni811078
68,2019-04-07,03:25:02,deposito,22.37,1078,15,DJ329704
69,2016-06-28,03:23:57,deposito,106.26,1144,266,vg612522
70,2022-04-05,22:52:05,prelievo,19.62,55,76,Qy023469
71,2022-10-31,09:43:47,lista_movimenti,,379,52,UA644901
72,2024-09-24,02:34:36,prelievo,53.67,184,167,sb580731
73,2024-06-26,19:22:06,saldo,,631,289,rU109008
74,2022-12-07,04:33:44,deposito,57.93,790,277,Ni496698
75,2018-08-01,00:40:42,deposito,54.68,120,26,Ee450079
76,2021-10-27,18:46:16,lista_movimenti,,1058,139,yi644979
77,2024-09-07,05:26:04,prelievo,163.03,54,274,Be641918
78,2014-05-01,01:26:10,lista_movimenti,,939,123,PZ716515
79,2024-12-19,09:14:37,saldo,,684,234,yb536196
80,2021-11-10,04:29:22,saldo,,164,95,OV475251
81,2017-07-07,13:51:33,prelievo,98.15,981,207,Gd346720
82,2023-11-01,15:44:11,prelievo,21.76,702,184,bD060463
83,2020-11-08,07:07:15,prelievo,119.84,247,152,wz717652
84,2015-02-06,02:43:55,deposito,23.45,998,225,bI476030
