1,"Incrocio Venditti, 732 Piano 7, 08025, Su Cologone (NU)",3
2,"Stretto Gastone, 88, 11022, Arcesaz (AO)",2
3,"Strada Scandone, 554 Piano 3, 19037, Santo Stefano Di Magra (SP)",2
4,"Strada Pertile, 29 Piano 8, 12027, Pradleves (CN)",1
5,"Incrocio Gemma, 227, 23824, Dorio (LC)",3
6,"Stretto Lopresti, 81 Piano 8, 40061, Minerbio (BO)",2
7,"Vicolo Armando, 7, 09072, Solanas (OR)",5
8,"Borgo Sante, 515, 03011, Tecchiena (FR)",1
9,"Borgo Gaetano, 5 Appartamento 4, 82025, Montefalcone Di Val Fortore (BN)",1
10,"Incrocio Tolentino, 429 Appartamento 6, 00152, Roma (RM)",2
11,"Strada Marcantonio, 133 Piano 5, 39032, Acereto (BZ)",4
12,"Canale Mantegazza, 0 Appartamento 8, 59011, Bacchereto (PO)",4
13,"Viale Caetani, 135 Piano 4, 12037, Castellar (CN)",5
14,"Incrocio Satriani, 80 Appartamento 17, 26045, Motta Baluffi (CR)",2
15,"Viale Osvaldo, 3, 17051, Andora (SV)",5
16,"Via Maria, 85, 34072, Farra D'Isonzo (GO)",5
17,"Via Sophia, 37, 17025, Loano (SV)",1
18,"Piazza Zoppetti, 78, 61013, Valle Sant'Anastasio (PU)",1
19,"Vicolo Berengario, 72, 09026, San Sperate (CA)",4
20,"Borgo Pergolesi, 4 Appartamento 89, 06072, Spina (PG)",1
21,"Strada Campano, 842, 28053, Castelletto Sopra Ticino (NO)",5
22,"Stretto Pompeo, 8 Appartamento 73, 23010, Dazio (SO)",2
23,"Piazza Ilaria, 31 Piano 3, 80021, Afragola (NA)",1
24,"Piazza Battisti, 85 Piano 7, 42027, Montecchio Emilia (RE)",2
25,"Vicolo Olga, 31 Appartamento 8, 95013, Fiumefreddo Di Sicilia (CT)",2
26,"Strada Leone, 453, 44026, Mesola (FE)",1
27,"Vicolo Guarino, 5 Piano 1, 13835, Ponzone (BI)",2
28,"Contrada Niggli, 515, 34010, Sgonico (TS)",2
29,"Canale Boezio, 36 Piano 4, 95021, Cannizzaro (CT)",5
30,"Stretto Brambilla, 40, 90046, Pioppo (PA)",3
31,"Piazza Sonnino, 19, 28836, Vezzo (VB)",4
32,"Rotonda Ludovica, 951 Appartamento 8, 47843, Villaggio Argentina (RN)",1
33,"Rotonda Fredo, 550 Appartamento 83, 38037, Paneveggio (TN)",1
34,"Borgo Filippelli, 0, 84037, Sant'Arsenio (SA)",5
35,"Stretto Pertini, 76 Appartamento 25, 34100, Trieste (TS)",5
36,"Via Anguissola, 5 Appartamento 4, 03046, San Donato Val Di Comino (FR)",4
37,"Piazza Alphons, 96 Piano 5, 07030, Bulzi (SS)",2
38,"Borgo Angelo, 5 Appartamento 32, 56040, Le Badie (PI)",2
39,"Strada Leone, 88 Appartamento 7, 34121, Trieste (TS)",5
40,"Vicolo Galeati, 248, 20826, Cascina Nuova (MB)",1
41,"Stretto Corcos, 3 Appartamento 25, 86096, Incoronata (IS)",3
42,"Viale Pier, 36 Appartamento 5, 47016, Predappio (FC)",1
43,"Borgo Soderini, 24, 67035, Bagnaturo (AQ)",2
44,"Viale Fibonacci, 915, 71026, Deliceto (FG)",4
45,"Rotonda Pierangelo, 14, 42047, Rolo (RE)",4
46,"Stretto Petrucci, 63, 20133, Milano (MI)",4
47,"Via Scotti, 247 Piano 1, 27100, Fossarmato (PV)",4
48,"Borgo Massimo, 857 Piano 8, 20071, Vermezzo (MI)",2
49,"Strada Ziani, 0 Piano 7, 60100, Ancona (AN)",5
50,"Stretto Toni, 94 Piano 2, 53049, Torrita Stazione (SI)",2
51,"Vicolo Calogero, 63, 03039, Carnello (FR)",2
52,"Stretto Cianciolo, 98 Piano 8, 89048, Siderno Marina (RC)",1
53,"Rotonda Valentina, 33 Appartamento 6, 64020, Bellante (TE)",1
54,"Via Imelda, 48, 59013, Montemurlo (PO)",4
55,"Via Piane, 21 Piano 0, 54100, Casette (MS)",2
56,"Viale Casagrande, 668 Piano 9, 42041, Lentigione (RE)",1
57,"Piazza Ida, 5 Appartamento 88, 63825, Rubbianello (FM)",5
58,"Contrada Elvira, 77, 44043, Mirabello (FE)",2
59,"Via Bruno, 592, 87062, Cariati (CS)",2
60,"Canale Liguori, 6 Appartamento 98, 26012, Castelleone (CR)",4
